Inscrição,Origem,Endereço,Tributo,Ano,Mês,Situação,Valor Atual,Juros,Multa,Total Divida,Vencidas,A Vencer
105.428.0040.000,Imóvel,Rua CJ - 08         0 APM 02 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.428.0040.000,Imóvel,Rua CJ - 08         0 APM 02 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,35175.86,5628.14,7035.17,47839.17,1,0
105.429.0040.000,Imóvel,Rua CJ- 07         0 APM 03 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.429.0040.000,Imóvel,Rua CJ- 07         0 APM 03 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,25125.6,1130.66,2952.27,29208.53,8,0
105.429.0040.000,Imóvel,Rua CJ- 07         0 APM 03 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.429.0040.000,Imóvel,Rua CJ- 07         0 APM 03 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,25125.61,4020.1,5025.12,34170.83,1,0
105.430.0040.000,Imóvel,Rua CJ - 08         0 APM 04 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.430.0040.000,Imóvel,Rua CJ - 08         0 APM 04 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,35175.84,1582.92,4133.18,40891.94,8,0
105.430.0040.000,Imóvel,Rua CJ - 08         0 APM 04 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.430.0040.000,Imóvel,Rua CJ - 08         0 APM 04 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,35175.86,5628.14,7035.17,47839.17,1,0
105.431.0040.000,Imóvel,Rua CJ- 07         0 AREA APM 05 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.431.0040.000,Imóvel,Rua CJ- 07         0 AREA APM 05 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,35175.84,1582.92,4133.18,40891.94,8,0
105.431.0040.000,Imóvel,Rua CJ- 07         0 AREA APM 05 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.431.0040.000,Imóvel,Rua CJ- 07         0 AREA APM 05 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,35175.86,5628.14,7035.17,47839.17,1,0
105.432.0109.000,Imóvel,Rua CJ-16         0 APM 06 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.432.0109.000,Imóvel,Rua CJ-16         0 APM 06 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,84342.64,3795.42,9910.29,98048.35,8,0
105.432.0109.000,Imóvel,Rua CJ-16         0 APM 06 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.432.0109.000,Imóvel,Rua CJ-16         0 APM 06 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,84342.61,13494.82,16868.52,114705.95,1,0
105.433.0073.000,Imóvel,Rua CJ- 28         0 APM 07 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.433.0073.000,Imóvel,Rua CJ- 28         0 APM 07 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,131651.04,5924.3,15469.01,153044.35,8,0
105.433.0073.000,Imóvel,Rua CJ- 28         0 APM 07 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.433.0073.000,Imóvel,Rua CJ- 28         0 APM 07 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,131651.04,21064.17,26330.21,179045.42,1,0
105.434.0030.000,Imóvel,Rua CJ- 20         0 AREA APM 08 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.434.0030.000,Imóvel,Rua CJ- 20         0 AREA APM 08 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,26132.64,1175.97,3070.61,30379.22,8,0
105.434.0030.000,Imóvel,Rua CJ- 20         0 AREA APM 08 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.434.0030.000,Imóvel,Rua CJ- 20         0 AREA APM 08 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,26132.66,4181.23,5226.53,35540.42,1,0
105.435.0040.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 AREA APM 09 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.435.0040.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 AREA APM 09 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,10355.84,466.0,1216.83,12038.67,8,0
105.435.0040.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 AREA APM 09 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.435.0040.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 AREA APM 09 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,10355.86,1656.94,2071.17,14083.97,1,0
105.435.0205.000,Imóvel,Avenida CAMPOS DO JORDAO 02         0 APP 01 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.435.0205.000,Imóvel,Avenida CAMPOS DO JORDAO 02         0 APP 01 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,57764.8,2599.42,6787.37,67151.59,8,0
105.435.0205.000,Imóvel,Avenida CAMPOS DO JORDAO 02         0 APP 01 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.435.0205.000,Imóvel,Avenida CAMPOS DO JORDAO 02         0 APP 01 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,57764.79,9242.37,11552.96,78560.12,1,0
105.435.0399.000,Imóvel,Avenida CAMPOS DO JORDAO 02         0 APM 10 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.435.0399.000,Imóvel,Avenida CAMPOS DO JORDAO 02         0 APM 10 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,35508.8,1597.9,4172.29,41278.99,8,0
105.435.0399.000,Imóvel,Avenida CAMPOS DO JORDAO 02         0 APM 10 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.435.0399.000,Imóvel,Avenida CAMPOS DO JORDAO 02         0 APM 10 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,35508.79,5681.41,7101.76,48291.96,1,0
106.027.0012.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD. 02 LT. 01 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,02,Dívida Corrente,286.24,17.17,57.25,360.66,1,0
106.027.0012.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD. 02 LT. 01 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,05,Dívida Corrente,286.24,14.31,22.9,323.45,1,0
106.027.0012.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD. 02 LT. 01 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capin. RoçaD.A,2022,07,Dívida Ativa,269.4,29.63,53.88,352.91,1,0
106.027.0407.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD. 02 LT. 27 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,05,Dívida Corrente,294.47,14.72,23.56,332.75,1,0
106.027.0407.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD. 02 LT. 27 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,02,Dívida Corrente,294.47,17.67,58.89,371.03,1,0
106.027.0407.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD. 02 LT. 27 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capin. RoçaD.A,2022,07,Dívida Ativa,277.15,30.49,55.43,363.07,1,0
106.029.0109.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD.04  LT.25 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,02,Dívida Corrente,204.0,12.24,40.8,257.04,1,0
106.029.0109.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD.04  LT.25 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capin. RoçaD.A,2022,10,Dívida Ativa,192.0,21.12,38.4,251.52,1,0
106.029.0109.000,Imóvel,Avenida AGLAIA DE ARAUJO         0 QD.04  LT.25 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capin. RoçaD.A,2022,07,Dívida Ativa,192.0,21.12,38.4,251.52,1,0
106.029.0244.000,Imóvel,Rua FC-07         0 QD.04  LT.03 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,02,Dívida Corrente,273.36,16.4,54.67,344.43,1,0
106.029.0244.000,Imóvel,Rua FC-07         0 QD.04  LT.03 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,08,Dívida Corrente,273.36,8.2,21.87,303.43,1,0
106.029.0244.000,Imóvel,Rua FC-07         0 QD.04  LT.03 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capin. RoçaD.A,2022,10,Dívida Ativa,257.28,28.3,51.46,337.04,1,0
106.029.0244.000,Imóvel,Rua FC-07         0 QD.04  LT.03 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capin. RoçaD.A,2022,07,Dívida Ativa,257.28,28.3,51.46,337.04,1,0
106.029.0256.000,Imóvel,Rua FC-07         0 QD.04  LT.04 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,02,Dívida Corrente,204.68,12.28,40.94,257.90,1,0
106.029.0256.000,Imóvel,Rua FC-07         0 QD.04  LT.04 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capinação e Roç,2023,08,Dívida Corrente,204.68,6.14,16.37,227.19,1,0
106.029.0256.000,Imóvel,Rua FC-07         0 QD.04  LT.04 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capin. RoçaD.A,2022,07,Dívida Ativa,192.64,21.19,38.53,252.36,1,0
106.030.0393.000,Imóvel,Rua FC-07         0 QD.05 LT. 26 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
106.030.0393.000,Imóvel,Rua FC-07         0 QD.05 LT. 26 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,ITU,2023,01,Dívida Corrente,1791.76,80.64,210.53,2082.93,8,0
106.030.0393.000,Imóvel,Rua FC-07         0 QD.05 LT. 26 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Capin. RoçaD.A,2019,02,Dívida Ativa,244.95,124.92,48.99,418.86,1,0
106.030.0393.000,Imóvel,Rua FC-07         0 QD.05 LT. 26 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,CIP - DA,2021,01,Dívida Ativa,29.61,9.18,5.92,44.71,1,0
106.030.0393.000,Imóvel,Rua FC-07         0 QD.05 LT. 26 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,ITU - DA,2021,01,Dívida Ativa,1614.2,500.4,322.84,2437.44,1,0
106.030.0393.000,Imóvel,Rua FC-07         0 QD.05 LT. 26 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,CIP - DA,2022,01,Dívida Ativa,24.27,4.85,4.85,33.97,1,0
106.030.0393.000,Imóvel,Rua FC-07         0 QD.05 LT. 26 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,ITU - DA,2022,01,Dívida Ativa,1791.78,358.36,358.36,2508.50,1,0
106.030.0393.000,Imóvel,Rua FC-07         0 QD.05 LT. 26 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,Saldo Parc. D.A,2022,10,Dívida Ativa,1318.76,617.43,225.56,2161.75,1,0
106.054.0334.000,Imóvel,Rua FC-15          S/N QD: 29 LT: 24 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,IPTU,2023,01,Dívida Corrente,622.2,40.44,105.77,768.41,4,0
106.054.0334.000,Imóvel,Rua FC-15          S/N QD: 29 LT: 24 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,TSU,2023,01,Dívida Corrente,65.23,5.22,13.05,83.50,1,0
106.054.0334.000,Imóvel,Rua FC-15          S/N QD: 29 LT: 24 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,IPTU - DA,2021,01,Dívida Ativa,603.59,187.11,120.72,911.42,1,0
106.054.0334.000,Imóvel,Rua FC-15          S/N QD: 29 LT: 24 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,TSU - DA,2021,01,Dívida Ativa,76.28,23.64,15.25,115.17,1,0
106.054.0334.000,Imóvel,Rua FC-15          S/N QD: 29 LT: 24 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,IPTU - DA,2022,01,Dívida Ativa,622.18,124.44,124.44,871.06,1,0
106.054.0334.000,Imóvel,Rua FC-15          S/N QD: 29 LT: 24 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA,TSU - DA,2022,01,Dívida Ativa,69.08,13.81,13.81,96.70,1,0
107.488.0366.000,Imóvel,Rua RA 02         0 QD. 04 LT. 21A RESIDENCIAL ARAGUAIA,IPTU,2023,01,Dívida Corrente,178.88,14.31,35.78,228.97,1,0
107.488.0366.000,Imóvel,Rua RA 02         0 QD. 04 LT. 21A RESIDENCIAL ARAGUAIA,Parcelam/Div/Aj,2023,09,Dívida Corrente,156.16,0.0,0.0,156.16,0,1
107.488.0366.000,Imóvel,Rua RA 02         0 QD. 04 LT. 21A RESIDENCIAL ARAGUAIA,Parcelamento DA,2023,09,Dívida Corrente,134.77,0.0,0.0,134.77,0,1
107.488.0390.002,Imóvel,Rua RA 02          -777 QD. 04 LT. 21C RESIDENCIAL ARAGUAIA,IPTU,2023,01,Dívida Corrente,253.46,20.28,50.69,324.43,1,0
107.488.0390.002,Imóvel,Rua RA 02          -777 QD. 04 LT. 21C RESIDENCIAL ARAGUAIA,TSU,2023,01,Dívida Corrente,40.32,3.23,8.06,51.61,1,0
107.533.0338.001,Imóvel,Rua MOGNO 0 QD.31 LT.30 JARDIM DOS IPES,IPTU - DA,2022,01,Dívida Ativa,205.0,41.0,41.0,287.00,1,0
107.533.0338.001,Imóvel,Rua MOGNO 0 QD.31 LT.30 JARDIM DOS IPES,TSU - DA,2022,01,Dívida Ativa,50.67,10.14,10.14,70.95,1,0
107.533.0338.002,Imóvel,Rua MOGNO 0 QD.31 LT.30 JARDIM DOS IPES,IPTU - DA,2022,01,Dívida Ativa,233.09,46.62,46.62,326.33,1,0
107.533.0338.002,Imóvel,Rua MOGNO 0 QD.31 LT.30 JARDIM DOS IPES,TSU - DA,2022,01,Dívida Ativa,54.31,10.86,10.86,76.03,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,IPTU,2023,01,Dívida Corrente,259.19,20.74,51.84,331.77,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,TSU,2023,01,Dívida Corrente,61.6,4.93,12.32,78.85,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,TSU - DA,2016,01,Dívida Ativa,111.74,102.8,22.35,236.89,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,IPTU - DA,2017,01,Dívida Ativa,249.83,199.87,49.97,499.67,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,TSU - DA,2017,01,Dívida Ativa,197.78,158.22,39.56,395.56,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,IPTU - DA,2018,01,Dívida Ativa,249.84,169.89,49.97,469.70,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,TSU - DA,2018,01,Dívida Ativa,97.23,66.12,19.45,182.80,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,IPTU - DA,2021,01,Dívida Ativa,249.83,77.45,49.97,377.25,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,TSU - DA,2021,01,Dívida Ativa,72.03,22.33,14.41,108.77,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,IPTU - DA,2022,01,Dívida Ativa,259.19,51.84,51.84,362.87,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,TSU - DA,2022,01,Dívida Ativa,65.23,13.05,13.05,91.33,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,IPTU - DA,2019,01,Ajuizada,249.84,139.91,49.97,439.72,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,TSU - DA,2019,01,Ajuizada,75.79,42.44,15.16,133.39,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,IPTU - DA,2020,01,Ajuizada,249.83,109.93,49.97,409.73,1,0
107.539.0331.000,Imóvel,Rua ACACIA          S/N QD: 37 LT: 5-C JARDIM DOS IPES,TSU - DA,2020,01,Ajuizada,76.15,33.51,15.23,124.89,1,0
107.539.0345.000,Imóvel,Rua ARAUCARIA         0 QD. 37 LT. 05B JARDIM DOS IPES,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
107.539.0345.000,Imóvel,Rua ARAUCARIA         0 QD. 37 LT. 05B JARDIM DOS IPES,ITU,2023,01,Dívida Corrente,377.72,28.33,75.54,481.59,2,0
107.539.0345.000,Imóvel,Rua ARAUCARIA         0 QD. 37 LT. 05B JARDIM DOS IPES,CIP - DA,2021,01,Dívida Ativa,29.61,9.18,5.92,44.71,1,0
107.539.0345.000,Imóvel,Rua ARAUCARIA         0 QD. 37 LT. 05B JARDIM DOS IPES,ITU - DA,2021,01,Dívida Ativa,340.28,105.49,68.06,513.83,1,0
107.539.0345.000,Imóvel,Rua ARAUCARIA         0 QD. 37 LT. 05B JARDIM DOS IPES,CIP - DA,2022,01,Dívida Ativa,24.27,4.85,4.85,33.97,1,0
107.539.0345.000,Imóvel,Rua ARAUCARIA         0 QD. 37 LT. 05B JARDIM DOS IPES,ITU - DA,2022,01,Dívida Ativa,377.71,75.54,75.54,528.79,1,0
107.548.0027.000,Imóvel,Rua ACACIA         0 QD. 45,IPTU,2023,01,Dívida Corrente,273.46,20.51,54.7,348.67,2,0
107.548.0027.000,Imóvel,Rua ACACIA         0 QD. 45,TSU,2023,01,Dívida Corrente,51.1,4.09,10.22,65.41,1,0
107.548.0027.000,Imóvel,Rua ACACIA         0 QD. 45,IPTU - DA,2021,01,Dívida Ativa,262.32,81.32,52.46,396.10,1,0
107.548.0027.000,Imóvel,Rua ACACIA         0 QD. 45,TSU - DA,2021,01,Dívida Ativa,59.75,18.52,11.95,90.22,1,0
107.548.0027.000,Imóvel,Rua ACACIA         0 QD. 45,IPTU - DA,2022,01,Dívida Ativa,273.45,54.69,54.69,382.83,1,0
107.548.0027.000,Imóvel,Rua ACACIA         0 QD. 45,Saldo Parc. D.A,2022,03,Dívida Ativa,499.73,350.98,78.92,929.63,1,0
107.548.0027.000,Imóvel,Rua ACACIA         0 QD. 45,Saldo Parc. D.A,2022,03,Dívida Ativa,390.41,181.05,66.77,638.23,1,0
107.548.0027.000,Imóvel,Rua ACACIA         0 QD. 45,TSU - DA,2022,01,Dívida Ativa,54.11,10.82,10.82,75.75,1,0
107.548.0063.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD.45,IPTU,2023,01,Dívida Corrente,939.26,46.96,123.44,1109.66,7,0
107.548.0063.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD.45,TSU,2023,01,Dívida Corrente,156.76,12.54,31.35,200.65,1,0
107.548.0063.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD.45,IPTU - DA,2021,01,Dívida Ativa,288.65,89.48,57.73,435.86,1,0
107.548.0063.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD.45,TSU - DA,2021,01,Dívida Ativa,98.23,30.45,19.65,148.33,1,0
107.548.0063.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD.45,IPTU - DA,2022,01,Dívida Ativa,939.24,187.85,187.85,1314.94,1,0
107.548.0063.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD.45,TSU - DA,2022,01,Dívida Ativa,166.01,33.2,33.2,232.41,1,0
107.548.0077.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,IPTU,2023,01,Dívida Corrente,800.16,44.01,112.02,956.19,6,0
107.548.0077.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,TSU,2023,01,Dívida Corrente,164.23,13.14,32.85,210.22,1,0
107.548.0077.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,IPTU - DA,2020,01,Dívida Ativa,320.85,141.17,64.17,526.19,1,0
107.548.0077.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,TSU - DA,2020,01,Dívida Ativa,90.0,39.6,18.0,147.60,1,0
107.548.0077.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,IPTU - DA,2022,01,Dívida Ativa,666.79,126.69,133.36,926.84,1,0
107.548.0109.000,Imóvel,Avenida RAIMUNDO CARLOS SILVA         0 QD. 45,IPTU,2023,01,Dívida Corrente,193.19,15.46,38.64,247.29,1,0
107.548.0109.000,Imóvel,Avenida RAIMUNDO CARLOS SILVA         0 QD. 45,TSU,2023,01,Dívida Corrente,69.3,5.54,13.86,88.70,1,0
107.548.0157.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,IPTU,2023,01,Dívida Corrente,578.72,37.61,98.39,714.72,4,0
107.548.0157.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,TSU,2023,01,Dívida Corrente,139.82,11.19,27.97,178.98,1,0
107.548.0157.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,IPTU - DA,2022,01,Dívida Ativa,578.72,115.74,115.74,810.20,1,0
107.548.0157.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,Saldo Parc. D.A,2022,01,Dívida Ativa,640.44,372.02,109.54,1122.00,1,0
107.548.0157.001,Imóvel,Avenida RAIMUNDO CARLOS SILVA 0 QD. 45,TSU - DA,2022,01,Dívida Ativa,148.07,29.61,29.61,207.29,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,IPTU,2023,01,Dívida Corrente,343.6,25.77,68.72,438.09,2,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,TSU,2023,01,Dívida Corrente,63.7,5.1,12.74,81.54,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,IPTU - DA,2018,01,Dívida Ativa,332.47,226.08,66.49,625.04,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,TSU - DA,2018,01,Dívida Ativa,100.55,68.37,20.11,189.03,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,IPTU - DA,2019,01,Dívida Ativa,332.46,186.18,66.49,585.13,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,TSU - DA,2019,01,Dívida Ativa,78.37,43.89,15.67,137.93,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,IPTU - DA,2020,01,Dívida Ativa,332.47,146.29,66.49,545.25,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,TSU - DA,2020,01,Dívida Ativa,78.75,34.65,15.75,129.15,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,IPTU - DA,2021,01,Dívida Ativa,332.47,103.07,66.49,502.03,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,TSU - DA,2021,01,Dívida Ativa,74.49,23.09,14.9,112.48,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,IPTU - DA,2022,01,Dívida Ativa,343.6,68.72,68.72,481.04,1,0
107.548.0470.000,Imóvel,Rua RA 26         0 QD. 45,TSU - DA,2022,01,Dívida Ativa,67.46,13.49,13.49,94.44,1,0
107.552.0235.001,Imóvel,Avenida PERIMETRAL 0 ANT.AREA PUBL. PARQUE RESIDENCIAL DAS FLORES,IPTU,2023,01,Dívida Corrente,396.99,27.79,79.41,504.19,3,0
107.552.0235.001,Imóvel,Avenida PERIMETRAL 0 ANT.AREA PUBL. PARQUE RESIDENCIAL DAS FLORES,TSU,2023,01,Dívida Corrente,186.57,14.93,37.31,238.81,1,0
107.587.0020.001,Imóvel,Rua FLAMBOYANT 0 QD. 02 LT. 07 RESIDENCIAL PORTAL DO CERRADO,IPTU,2023,01,Dívida Corrente,2676.4,120.44,314.46,3111.30,8,0
107.587.0020.001,Imóvel,Rua FLAMBOYANT 0 QD. 02 LT. 07 RESIDENCIAL PORTAL DO CERRADO,TSU,2023,01,Dívida Corrente,454.47,31.81,90.9,577.18,3,0
107.587.0020.001,Imóvel,Rua FLAMBOYANT 0 QD. 02 LT. 07 RESIDENCIAL PORTAL DO CERRADO,IPTU - DA,2021,01,Dívida Ativa,1410.55,437.27,282.11,2129.93,1,0
107.587.0020.001,Imóvel,Rua FLAMBOYANT 0 QD. 02 LT. 07 RESIDENCIAL PORTAL DO CERRADO,TSU - DA,2021,01,Dívida Ativa,215.28,66.74,43.06,325.08,1,0
107.587.0020.001,Imóvel,Rua FLAMBOYANT 0 QD. 02 LT. 07 RESIDENCIAL PORTAL DO CERRADO,IPTU - DA,2022,01,Dívida Ativa,2676.37,535.27,535.27,3746.91,1,0
