Origem,Inscrição,Endereço,Matrícula,Dívidas
Imóvel,105.407.0274.000,"Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 18 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 36 18",105.407.0274.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1540.24, 'Juros': 69.32, 'Multa': 180.98, 'Total': '1790.54', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1540.21, 'Juros': 246.43, 'Multa': 308.04, 'Total': '2094.68', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3952.16}]"
Imóvel,105.407.0289.000,"Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 19 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 36 19",105.407.0289.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1540.24, 'Juros': 69.32, 'Multa': 180.98, 'Total': '1790.54', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1540.21, 'Juros': 246.43, 'Multa': 308.04, 'Total': '2094.68', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3952.16}]"
Imóvel,105.408.0116.000,"Rua CJ-25         0 QD.37 LT. 09 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 37 09",105.408.0116.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.409.0090.000,"Rua CJ-25         0 QD.38 LT. 07 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 38 07",105.409.0090.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3304.63}]"
Imóvel,105.409.0458.000,"Avenida CAMPOS DO JORDAO 01         0 QD.38 LT. 33 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 38 33",105.409.0458.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3304.63}]"
Imóvel,105.411.0358.000,"Avenida CAMPOS DO JORDAO 01         0 QD.40 LT. 25 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 40 25",105.411.0358.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 2246.14, 'Juros': 359.38, 'Multa': 449.23, 'Total': '3054.75', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 4613.8099999999995}]"
Imóvel,105.412.0117.000,"Rua CJ-25         0 QD.41 LT. 09 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 41 09",105.412.0117.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.414.0298.000,"Rua CJ-26         0 QD.43 LT. 20 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 43 20",105.414.0298.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.418.0015.000,"Avenida CAMPOS DO JORDAO 01         0 QD.47 LT. 01 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 47 01",105.418.0015.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 2246.16, 'Juros': 101.08, 'Multa': 263.91, 'Total': '2611.15', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 2246.14, 'Juros': 359.38, 'Multa': 449.23, 'Total': '3054.75', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 5732.84}]"
Imóvel,105.419.0025.000,"Avenida CAMPOS DO JORDAO 01         0 QD.48 LT. 01 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 48 01",105.419.0025.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 2246.16, 'Juros': 101.08, 'Multa': 263.91, 'Total': '2611.15', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 2246.14, 'Juros': 359.38, 'Multa': 449.23, 'Total': '3054.75', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 5732.84}]"
Imóvel,105.420.0059.000,"Rua CJ-29         0 QD.49 LT. 02 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 49 02",105.420.0059.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1711.36, 'Juros': 77.02, 'Multa': 201.06, 'Total': '1989.44', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 2023.38}]"
Imóvel,105.421.0148.000,"Rua CJ-30         0 QD.50 LT. 06 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 50 06",105.421.0148.000,"[{'Situação': 'Dívida Ativa', 'Divida': [{'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 235.31, 'Juros': 30.59, 'Multa': 47.06, 'Total': '312.96', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 312.96}]"
Imóvel,105.426.0070.000,"Rua CJ-35         0 QD.55 LT. 03 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 55 03",105.426.0070.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1711.36, 'Juros': 77.02, 'Multa': 201.06, 'Total': '1989.44', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 2023.38}]"
Imóvel,105.427.0077.000,"Avenida CAMPOS DO JORDAO 01         0 APM 01 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 01",105.427.0077.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 65351.52, 'Juros': 2940.84, 'Multa': 7678.83, 'Total': '75971.19', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 65351.54, 'Juros': 10456.25, 'Multa': 13070.31, 'Total': '88878.10', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 164916.23}]"
Imóvel,105.428.0040.000,"Rua CJ - 08         0 APM 02 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 02",105.428.0040.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 35175.84, 'Juros': 1582.92, 'Multa': 4133.18, 'Total': '40891.94', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 35175.86, 'Juros': 5628.14, 'Multa': 7035.17, 'Total': '47839.17', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 88798.05}]"
Imóvel,105.429.0040.000,"Rua CJ- 07         0 APM 03 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 03",105.429.0040.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 25125.6, 'Juros': 1130.66, 'Multa': 2952.27, 'Total': '29208.53', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 25125.61, 'Juros': 4020.1, 'Multa': 5025.12, 'Total': '34170.83', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 63446.3}]"
Imóvel,105.430.0040.000,"Rua CJ - 08         0 APM 04 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 04",105.430.0040.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 35175.84, 'Juros': 1582.92, 'Multa': 4133.18, 'Total': '40891.94', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 35175.86, 'Juros': 5628.14, 'Multa': 7035.17, 'Total': '47839.17', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 88798.05}]"
Imóvel,105.431.0040.000,"Rua CJ- 07         0 AREA APM 05 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 05",105.431.0040.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 35175.84, 'Juros': 1582.92, 'Multa': 4133.18, 'Total': '40891.94', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 35175.86, 'Juros': 5628.14, 'Multa': 7035.17, 'Total': '47839.17', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 88798.05}]"
Imóvel,105.432.0109.000,"Rua CJ-16         0 APM 06 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 06",105.432.0109.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 84342.64, 'Juros': 3795.42, 'Multa': 9910.29, 'Total': '98048.35', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 84342.61, 'Juros': 13494.82, 'Multa': 16868.52, 'Total': '114705.95', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 212821.24}]"
Imóvel,105.433.0073.000,"Rua CJ- 28         0 APM 07 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 07",105.433.0073.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 131651.04, 'Juros': 5924.3, 'Multa': 15469.01, 'Total': '153044.35', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 131651.04, 'Juros': 21064.17, 'Multa': 26330.21, 'Total': '179045.42', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 332156.71}]"
Imóvel,105.434.0030.000,"Rua CJ- 20         0 AREA APM 08 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM08",105.434.0030.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 26132.64, 'Juros': 1175.97, 'Multa': 3070.61, 'Total': '30379.22', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 26132.66, 'Juros': 4181.23, 'Multa': 5226.53, 'Total': '35540.42', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 65986.58}]"
Imóvel,105.435.0040.000,"Avenida CAMPOS DO JORDAO 01         0 AREA APM 09 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 09",105.435.0040.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 10355.84, 'Juros': 466.0, 'Multa': 1216.83, 'Total': '12038.67', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 10355.86, 'Juros': 1656.94, 'Multa': 2071.17, 'Total': '14083.97', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 26189.58}]"
Imóvel,105.435.0205.000,"Avenida CAMPOS DO JORDAO 02         0 APP 01 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 AREA APP01",105.435.0205.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 57764.8, 'Juros': 2599.42, 'Multa': 6787.37, 'Total': '67151.59', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 57764.79, 'Juros': 9242.37, 'Multa': 11552.96, 'Total': '78560.12', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 145778.65}]"
Imóvel,105.435.0399.000,"Avenida CAMPOS DO JORDAO 02         0 APM 10 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 00 APM 10",105.435.0399.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 35508.8, 'Juros': 1597.9, 'Multa': 4172.29, 'Total': '41278.99', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 35508.79, 'Juros': 5681.41, 'Multa': 7101.76, 'Total': '48291.96', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 89637.89}]"
Imóvel,106.027.0012.000,"Avenida AGLAIA DE ARAUJO         0 QD. 02 LT. 01 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA, Qt.Qd.Lt.SubLt. 02 01",106.027.0012.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '02', 'Tributo': 'Capinação e Roç', 'Valor Atual': 286.24, 'Juros': 17.17, 'Multa': 57.25, 'Total': '360.66', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '05', 'Tributo': 'Capinação e Roç', 'Valor Atual': 286.24, 'Juros': 14.31, 'Multa': 22.9, 'Total': '323.45', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '07', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 269.4, 'Juros': 29.63, 'Multa': 53.88, 'Total': '352.91', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 1037.02}]"
Imóvel,106.027.0407.000,"Avenida AGLAIA DE ARAUJO         0 QD. 02 LT. 27 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA, Qt.Qd.Lt.SubLt. 02 27",106.027.0407.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '05', 'Tributo': 'Capinação e Roç', 'Valor Atual': 294.47, 'Juros': 14.72, 'Multa': 23.56, 'Total': '332.75', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '02', 'Tributo': 'Capinação e Roç', 'Valor Atual': 294.47, 'Juros': 17.67, 'Multa': 58.89, 'Total': '371.03', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '07', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 277.15, 'Juros': 30.49, 'Multa': 55.43, 'Total': '363.07', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 1066.85}]"
Imóvel,106.029.0109.000,"Avenida AGLAIA DE ARAUJO         0 QD.04  LT.25 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA, Qt.Qd.Lt.SubLt. 04 25",106.029.0109.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '02', 'Tributo': 'Capinação e Roç', 'Valor Atual': 204.0, 'Juros': 12.24, 'Multa': 40.8, 'Total': '257.04', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '10', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 192.0, 'Juros': 21.12, 'Multa': 38.4, 'Total': '251.52', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '07', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 192.0, 'Juros': 21.12, 'Multa': 38.4, 'Total': '251.52', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 760.08}]"
Imóvel,106.029.0244.000,"Rua FC-07         0 QD.04  LT.03 RESIDENCIAL FLOR DO CERRADO 1ª e 2ª ETAPA, Qt.Qd.Lt.SubLt. 04 03",106.029.0244.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '02', 'Tributo': 'Capinação e Roç', 'Valor Atual': 273.36, 'Juros': 16.4, 'Multa': 54.67, 'Total': '344.43', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '08', 'Tributo': 'Capinação e Roç', 'Valor Atual': 273.36, 'Juros': 8.2, 'Multa': 21.87, 'Total': '303.43', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '10', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 257.28, 'Juros': 28.3, 'Multa': 51.46, 'Total': '337.04', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '07', 'Tributo': 'Capin. RoçaD.A', 'Valor Atual': 257.28, 'Juros': 28.3, 'Multa': 51.46, 'Total': '337.04', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 1321.94}]"
